Title,Podcaster,Author,Chapters,Status,Time,Ship or Main Character,Link,Spotify/stream,Third Link,FANDOM NAME,,Date Podfic Published/Updated,Date Fic Published,,SHIP NAME,Ship or Main Character,COUNTA of Ship or Main Character
A Muggleborns Guide to Bagging a Pureblood,The Dramione Archives,ravengoldy,oneshot,complete,15-60 mins,Hermione Granger/Draco Malfoy,,https://open.spotify.com/episode/01E42Esuk1rEaT06EGxGjQ?si=ab8ccd97442347aa,,Dramione,,,,,,,
A Nasty Piece of Work,picascribit,picascribit,oneshot,complete,1-5 hours,Fenrir Greyback/OFC,https://archiveofourown.org/works/960527,,,,,,,,,,
A New Incentive,sisi_rambles,reserve,oneshot,complete,15-60 mins,Credence Barebone/Percival Graves,https://archiveofourown.org/works/8699983,,,,,,,,,,
A New Kind of Frustration,pommedeplume,pommedeplume,oneshot,complete,15-60 mins,Hermione Granger/Ron Weasley,https://archiveofourown.org/works/2067741,,,Romione,,,,,,,
A Night Off From the War,picascribit,picascribit,oneshot,complete,15-60 mins,James Potter/Lily Evans Potter,https://archiveofourown.org/works/1715756,,,Jily,,,,,,,
A Non-Christmas Non-Romance,"Cailynwrites, ETL_Echo_Audiobooks",kelly_chambliss,oneshot,complete,0-15 mins,Minerva McGonagall/Severus Snape,https://archiveofourown.org/works/52382296,,,,,,,,,,
a pair of open graves,FanficTalk Podfics,facingthenorthwind,oneshot,complete,0-15 mins,Sirius Black/Remus Lupin,,https://open.spotify.com/episode/6dyS52iYjXK9B63hMKrxWb?si=7be025786d684076,,wolfstar,,,,,,,
A Particular Affinity,xinasvoice,canis_m,oneshot,complete,15-60 mins,Sirius Black/Remus Lupin,https://archiveofourown.org/works/15907902,,,Wolfstar,,,,,,,
A Passion for Quidditch,Ysilme,shadowycat,oneshot,complete,0-15 mins,Minerva McGonagall/Severus Snape,https://archiveofourown.org/works/899253,,,,,,,,,,
A Patient Wolf,FanficTalk Podfics,RonsGirlFriday,oneshot,complete,15-60 mins,"James Potter, Remus Lupin",,https://open.spotify.com/episode/4v8Q0iK8134inWJgFqWaBl?si=612a89634edb4cfe,,,,,,,,,
A Perfect Fit,MrsLucyGoosey,nothing_left_sacred,2 of 2,complete,1-5 hours,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/54421525,,,Drarry,,,,,,,
A Perfect Lady,Wolfess,Aly_moon,2 of 109,hiatus,N/A,Theodore Nott/Harry Potter,https://archiveofourown.org/works/43704796,,,NottPott,,,,,,,
A Perfectly Normal Reaction,Ellejabell,magpie_fngrl,oneshot,complete,0-15 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/24466327,,,Drarry,,,,,,,
A Perfectly Ordinary Life,sisi_rambles,lionessvalenti,oneshot,complete,15-60 mins,Dudley Dursley,https://archiveofourown.org/works/23386429,,,,,,,,,,
A Performance Agreed Upon,tree00faery,secretsalex,oneshot,complete,15-60 mins,Draco Malfoy/Harry Potter,https://hp-podfic-fest.livejournal.com/26760.html,,,Drarry,,,,,,,
A Portrait of the Artist,RsCreighton,firethesound,oneshot,complete,15-60 mins,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/9122473,,,Drarry,,,,,,,
A Potter's Field,"BurningAurora, MsAlexWP, R33sesPieces, ashata, Wolfstar Tales",MsAlexWP,2 of 2,complete,1-5 hours,Sirius Black/Remus Lupin,https://archiveofourown.org/works/50071558,https://open.spotify.com/episode/1SHWFalzXsGBQDjYhSJZGV?si=b5216827afec441e,,Wolfstar,,,,,,,
A Prince's Promise - TTS,BurningAurora / Wolfstar Podfics,Engie_Ivy,oneshot,complete,15-60 mins,Sirius Black/Remus Lupin,https://archiveofourown.org/works/47524123,https://open.spotify.com/episode/280BQhslCGMIOUeJyhKpB6?si=tbwk87m7SR6yYJC_suyJ0A,,Wolfstar,,,,,,,
A Proper Seduction,rhi cauldrie,dacro,oneshot,complete,1-5 hours,Draco Malfoy/Harry Potter,https://www.audiofic.jinjurly.com/proper-seduction,,,Drarry,,,,,,,
A Purrfect Proxy,"ETL_Echo_Audiobooks, NelipotLuna",mightbewriting,oneshot,complete,15-60 mins,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/43758636,,,Dramione,,,,,,,
A Quick Study,StoneAndRoses,StoneAndRoses,oneshot,complete,15-60 mins,Hermione Granger/Lucius Malfoy,https://archiveofourown.org/works/17793773,,,,,,,,,,
A Quiet Beginning,fire_juggler,StarDuchess,oneshot,complete,0-15 mins,Harry Potter/Severus Snape,https://archiveofourown.org/works/224761,,,Snarry,,,,,,,
A Reflection of Yourself,Maeglin_Yedi,Maeglin_Yedi,oneshot,complete,15-60 mins,Harry Potter/Ginny Weasley,https://archiveofourown.org/works/45494251,,,Hinny,,,,,,,
